Date,Category,Headline,Text
"December 01, 2019 13:58 IST",industry,"Bharti Airtel, Vodafone Idea and Reliance Jio hike prepaid tariff by up to 40% "," The era of low tariffs for Indian consumers seems to have ended as major telcos — Vodafone Idea Limited (VIL), Bharti Airtel Limited and Reliance Jio — have hiked tariff by up to 40% for prepaid customers. "
"December 01, 2019 22:44 IST",markets,Firm equities keep metals in check, The price of precious metals was confined to a narrow range in November 2019. The lacklustre price action was evident in the domestic as well as international markets. The firm trend in equity markets and the strength in the U.S. dollar played a key role in keeping precious metal prices in check last month.
"December 30, 2019 09:54 IST",markets,"Sensex jumps over 11 points; Nifty above 12,250 ","  Equity benchmark BSE Sensex jumped over 100 points in opening session on Monday tracking gains in banking, FMCG and IT stocks.  The 30-share BSE index was trading 109.18 points or 0.26 % higher at 41,684.32, and the broader NSE Nifty rose 27.60 points or 0.23 per cent to 12,273.40. "
"December 31, 2019 10:29 IST",markets,Sensex drops over 100 points amid thin global trade ,"  Equity benchmark BSE Sensex tumbled over 100 points in opening session on December 31 tracking weak global cues as year-end holidays thinned trading across markets.  The 30-share BSE index fell 108.21 points or 0.26% to 41,449.79, and the broader NSE Nifty slipped 28.10 points or 0.23% to 12,227.75."
"December 01, 2019 22:36 IST",industry,Ask Us: on investments after retirement,"  My dad recently retired from service in a PSU bank. He received a lump sum of about ₹25 lakh. I have the following questions:  1. How and where should he invest this money for optimum returns? He will be getting a monthly pension of about ₹40,000 2. Should he buy a health insurance plan as the bank's group insurance is over now?"
"December 27, 2019 09:46 IST",markets,"Sensex jumps over 150 points; Nifty near 12,200 ","  Equity benchmark BSE Sensex jumped over 150 points in opening session on Friday tracking gains in index-heavyweights RIL, SBI and HDFC twins amid positive global cues.  The 30-share BSE index was trading 161.85 points or 0.39 % higher at 41,325.61, and the broader NSE Nifty rose 57.70 points or 0.48 per cent to 12,184.25. "
"December 27, 2019 09:55 IST",markets,Rupee rises 8 paise against U.S. dollar in early trade ,"  The Indian rupee opened on a positive note and rose 8 paise to 71.23 against the U.S. dollar in early trade on Friday tracking gains in domestic equity market, even as crude oil prices firmed up.  Forex traders said positive opening in domestic equities supported the rupee, while steady rise in crude oil prices and foreign fund outflows weighed on the local unit."
"December 24, 2019 10:09 IST",markets,Rupee slips 5 paise to 71.23 against US dollar in early trade ,  The Indian rupee opened on a cautious note and fell 5 paise to 71.23 against the US dollar in early trade on Tuesday amid sustained rise in crude oil prices and muted opening in domestic equities. Forex traders said the rupee is trading in a narrow range amid lack of cues from the global market.
"December 24, 2019 09:44 IST",markets,"Sensex, Nifty start on a cautious note ","  Equity benchmarks BSE Sensex and NSE Nifty started on a cautious note on Tuesday tracking thin trade in global equities ahead of year-end holidays.  The 30-share BSE index was trading 39.84 points or 0.10 per cent higher at 41,682.50 in early session. Similarly, the broader NSE Nifty advanced 13.10 points or 0.11 per cent to 12,275.85."
"December 28, 2019 21:10 IST",industry,Bank deposit cover set for increase," Following the recent incidence of fraud at the Punjab and Maharashtra Cooperative Bank (PMC Bank), which caused panic among some sections of the depositors, the government is vetting a proposal from the Deposit Insurance and Credit Guarantee Corporation (DICGC) to increase the deposit insurance limit."
"December 28, 2019 21:33 IST",industry,ITI to come out with follow-on public offer in January," Public sector ITI Ltd. is scheduled to float a follow-on public offer (FPO) to list an additional 18 crore equity shares in the third or fourth week of January. Rakesh Mohan Agarwal, CMD, ITI, told  the public offer, to raise about ₹1,600-crore, will most likely open on January 20 and close on January 25 subject to board decision. "
