Headline,Date,Section,Article
"Mayawati, Akhilesh Yadav share space in hoardings",17/3/2018,city,"LUCKNOW: After BJP's defeat in UP bypolls, the new found bonhomie between SP and BSP leadership has now made it to huge hoardings that came up in Lucknow on Friday morning. The hoardings made history as photographs of Mayawati and Akhilesh Yadav have appeared together for the first time. The hoardings also feature pictures of Mulayam Singh Yadav and Kanshi Ram, the founders of SP and BSP, respectively. Some of the hoardings were put up right outside the SP headquarters on Vikramaditya Marg. On the face of it, the hoardings are all about congratulating the SP candidates who won the bypolls. But political observers believe that coming a day after SP chief Akhilesh Yadav issued a statement extending his wishes on the birth anniversary of Kanshi Ram, there is much more to the hoardings than mere photographs and congratulatory messages.""The hoarding has come up right outside SP headquarters which means it has the approval of the party leadership. Besides, all care has been taken to ensure that the BSP chief is given a respectable space on it with a photograph which is larger than that of Akhilesh,"" pointed out a political observer. The man behind the hoardings, Tariq Ahmad Lari says the publicity material only reflects the feelings of the party workers in SP and BSP. ""Party workers at the ground level, on both the sides, are convinced that coming together of the two parties was crucial in the present political scenario to check the saffron surge,"" he told TOI, adding that the party workers are looking up to their respective leaders to make the next move. "
Spreading positivity with the music of Idam Premam Jeevanam,14/3/2018,city,"For a debutant, director Raghavanka Prabhu is remarkably clear about the elements he wants to be a part of his film, Idam Premam Jeevanam, especially in terms of the music. He roped in composer Judah Sandhy, who is fresh from the success of his film #Chamak, to provide a new sound and feel for the songs and background score.
“The soundtrack of the film has five songs, each of which has its own story, with lyrics that spread positivity and happiness. Personally, I think that Idam Premam Jeevanam has one of the most comprehensive and soothing albums in recent times and Judah has truly woven his magic,” says Raghavanka. The title track, called Life Anthem, penned by Hriday Shiva, has a retro feel to it, while Yeah Turning Point, written by Raghavanka himself, will be a mirror to every engineering graduate, says the filmmaker. Arare Arare and the Travel song, also written by Hriday, are numbers with upbeat beats.
The director’s personal favourite, though, is the Appa Amma song, penned by Abhi Kanasina Kavana, which Raghavanka says will go down as one of the best songs about parents in Sandalwood, after, of course, the Appa I Love You song from Chowka.
The songs apart, the film’s background score is also a highlight, says Raghavanka, adding that Judah’s work is a marked departure from what has been seen and heard in most Kannada films.

"
Delhi man nabbed for extortion,22/3/2018,city,"Calangute police on Wednesday nabbed Ravindra Kumar Singh, 37, in a Candolim hotel for alleged extortion in Rajasthan. The Vigyan Nagar police there had registered an offence against him. PI Jivba Dalvi said Singh and his accomplices had been on the run for a month. Singh, a resident of New Delhi, has been remanded in judicial custody. A Rajasthan police team was expected to arrive in Goa late on Wednesday. tnn "
HC issues notices over pay disparities,20/3/2018,city,"JAIPUR: Rajasthan High Court has issued notices to principal secretary medical education, superintendent Jhalawar Medical College and placement agency over disparity in the wages of nursing staff working under regular pay scale and those appointed through placement agencies. The notices were returnable within three weeks. The single bench of Justice Ashok Gaur followed a petition by Naresh Kumar Dangi and others seeking equal work, equal pay. The petitioners had filed the writ petition seeking minimum pay in the pay scale on the post of nursing grade II and expressed apprehension that government might terminate their services on account of approaching the court. The court restrained the government from taking any coercive action against the petitioners while a decision on the petition was pending. Tanveer Ahmed, counsel for the petitioners, said, the permanent nursing staff in the medical college gets a salary of Rs 52,000 per month while nurses on contract receive a salary of Rs 33,000, however, the nursing staff appointed through placements agencies are paid only Rs 6,265 per month. This is violation of the principle of equal work, equal pay laid down by the Supreme Court. "
World Heritage City open for trek through ages,17/3/2018,city,"AHMEDABAD: The beauty of the living museum — the Walled City of Ahmedabad — and many of its six century old ASI protected monuments is breathtaking, but the significanceof oldAhmedabadrecognized by Unesco as India’s first World Heritage Site — lies beyond the physical beauty of its architectural heritage. It lies in its historical symbolism of religious tolerance and peaceful coexistence. On Saturday, when Gujarat governor O P Kohli launches the Times Passion Trail from Lal Darwaza, the 47 participants who will be part of this trail from all walks of life will engage in a visual dialogue with Ahmedabad’s history. Chief secretary J N Singh, principal secretary, S J Haider, MD Gujarat tourism Jenu Devan, principal secretary industries and mines, Manoj Das, will be among dignitaries who will be present to launch the Times Passion Trail. It is here, within these walls that Mahatma Gandhiconducted his experiments of Satyagraha and non-violence. With the help of the Walled City’s trusted lieutenants, both rich and poor, Bapu waged a war against untouchability, introduced the city to the concepts of Sarvodaya and trusteeship to help liberate the self from human pettiness and the British. In the many pols— residential communities — also remain stirring tales from the golden age of Gujarati pioneers; from their profitable voyages, overseas totheir effortsin establishing industries and business-friendly systems which today power Gujarat. Ashoka fellow and conservation architect and expert Debashish Nayak says, “The harmony the old city embraces through its diversity narrates a story of religious and cultural exchange.” The ASI has been playing a pivotal role in maintaining the sanctity of the monuments as well as nurturing the city’s character of a ‘living museum’. Mayor Gautam Shah said, “The Ahmedabad Municipal Corporation (AMC) pioneered the heritage conservation when it launched the heritage walk in 1997.” "
ET Women’s Forum to focus on empowerment,15/3/2018,city,"It is quite hard to pinpoint exactly when the narrative of gender equality discussions turned. But that it has turned significantly is no doubt at all. Initially, much of these discussions revolved around why women need more opportunities and less barriers. This was for the sake of the women themselves. But now, gender equality has also become a strategic imperative. Countries and companies alike are coming to the realisation that without truly empowering women, they can never realise their full growth potential. International Monetary Fund (IMF) chief Christine Lagarde recently declared that if India’s women participate in the workforce as much as men, its GDP could expand by 27%. Lagarde was part of the all women co-chairs of the World Economic Forum (WEF). JSW Foundation chairperson Sangita Jindal wrote in a recent column, “Women are now essential to the bottom line. That alone is why Indian organisations need to be proactive in employing more women and promoting — or holding on to — the ones they already have to positions of leadership.” It is in this context of nation building that The Economic Times will unveil the ET Women’s Forum this Friday. The day-long thinktank cum extravaganza is designed to collaboratively create an urgent, sustainable and national culture of empowering India’s half a billion women. About 50 speakers — including Cherie Blair, Andrea Jung, Yashodhara Raje Scindia, Kristina Jullum Hagen, Fawzia Koofi, M Damodaran, Rajan Anandan, Shobana Kamineni, Annette Dixon, Ekta Kapoor and Alankrita Shrivastava — will discuss ways to empower India’s women along with an audience of over 350 men and women. Cherie Blair, founder of the Cherie Blair foundation and wife of former British Prime Minister Tony Blair, said, “Achieving gender equality in India would have a larger economic impact here than in any other region in the world.” She is one of the two inaugural speakers at the ET Women’s Forum. “India’s low level of female workforce participation can be reversed if more Indian women are encouraged to take up entrepreneurship,” she added. About a dozen talks and key panels in the fields of politics, entrepreneurship, management, professions, workforce, industry, entertainment and sports will brainstorm ways to empower women to take their rightful place in all walks of life. Many initiatives are already under way. The government is doing some — launching the Beti Bachao Beti Padhao and Sukanya Samriddhi Yojana. It has also made it mandatory to provide a 26-week maternity leave. The ET Women’s Forum hopes to seed and water many more new ideas and conversations around facilitating greater participation and reducing gender inequality in every sphere of life, work and play. "
Govt makes Gujarati compulsory in all schools,15/3/2018,city,"AHMEDABAD: In a major decision aimed at promoting Gujarati language, the state government on Wednesday announced that Gujarati will be introduced as a compulsory language in classes 1 and 2 from the academic year 2018-19. Teaching of the language will be mandatory in schools affiliated with different boards including CBSE, ICSE and international boards as well as English medium schools.State education minister Bhupendrasinh Chudasama said that from academic year beginning June 2018-19, Gujarati will be introduced as a introductory language in classes 1 and 2 wherein basics will be taught. After that, the language will be made compulsory in classes 3-8 in a phased manner. “The move will increase pride in Gujarati as a language as all children studying in Gujarat will be conversant with the local language. The state has taken a cue from most states across India where local language is compulsorily taught in primary schools,” said Chudasama. The education minister added, “The decision will also help improve the standard of language in the state as it is a matter of grave concern that a large number of local students fail in Gujarati language paper in class X.” It needs mention that on an average 20% of the 10 lakh-odd students who appear for SSC boards have failed in Gujarati language paper in the past few years. Currently, Gujarati is introduced as a subject from class 5 in English medium schools affiliated with Gujarat Secondary and Higher Secondary Education Board (GSHSEB) while it is offered as an optional subject in CBSE schools in classes 5-10. In ICSE schools, Gujarati is taught as an optional subject in classes 6-10. School managements welcomed the move. “We believe that students in Gujarat should learn to read and write Gujarati language. In fact, even in our international school, we teach Gujarati subject in classes 3-8,” said MP Chandran, president of Association of Progressive Schools in Ahmedabad. President of the Matrubhasha Abhiyaan organization that had sometime back filed a PIL in Gujarat high court seeking promotion of Gujarati language including introducing it as a mandatory subject in primary schools said: “This will help promote the language among not only Gujarati but also non-Gujarati students. We believe that if a child learns mother tongue at the onset of schooling, he or she is able to express herself better. Language is as important as science”. "
CM Yogi Adityanath promises a 'ruthless' crackdown on corruption,17/3/2018,city,"LUCKNOW: Chief minister Yogi Adityanath has threatened to crack down on corruption with the same ruthlessness with which he was targeting criminals. Speaking at a Town Hall organized by The Times of India on Thursday, the CM said that nobody would be spared, irrespective of who they are. Discussing the measures he would be taking to end red tape in the government's functioning , the CM said: ""In one year, everyone from top to bottom must have understood what the government wants to do. For those who still have not understood, we are prepared to send them home. We will strike at corruption with the same ruthlessness with which we are dealing with criminals. When we came to power, we promised to make UP crime-free and corruption-free. There will be zero tolerance and we will not hesitate in taking action against anyone found violating rules, irrespective of who he is."" ‘An election is not the final aim for any government’The event, attended also by cabinet ministers Rita Bahuguna Joshi and Surya Pratap Shahi, saw Yogi dissect the reasons for his party’s defeat in the recently concluded byelections but also express confidence that BJP would return to power in 2019 on thebackof its performance in UP. “An election is not the final aim for any government. It is only a stage. We assess ourselves through it. In 2019, we should get a government which holds a positive outlook on the country’s development, which will provide protection to the interests of the country and one that will present a good picture of India to the international community. Thankfully, the people of this country have already elected such a government in 2014, that working under theleadership of Prime Minister Narendra Modi. There should be no confusion about the fact that BJP will form government again in 2019 and we will 80 out of 80 seats in UP,” he said. "
Power subsidy to agriculture continue: CM Amarinder,15/3/2018,city,"NAKODAR (JALANDHAR): Chief minister Amarinder Singh reiterated his government’s resolve to continue free power to agriculture and accused the Shiromani Akali Dal (SAD) of spreading canards to mislead people. The chief minister was speaking at a debt waiver function organised in Nakodar town of Jalandhar district on Wednesday. On the occasion, he distributed debt waiver certificates worth Rs 162 crore among 29,192 farmers of five districts of Punjab. Underlining the looming problem of water crisis, especially the severe depletion of groundwater, he said his government had only provided meters to 900 of the 13.5 lakh tubewells in Punjab as part of a research project. The move was aimed at saving groundwater while ensuring that farmers also get an incentive in the form of cash for their personal use, he said. Explaining the project further, Amarinder said if a farmer was given Rs 10,000 for power consumption of his tubewell and he ended up spending Rs 7,000, the remaining amount would go into his pocket and he would also contribute to saving the declining groundwater level in the state. “This would save both water and power and also benefit the farmer but the Akalis have been spreading canards among farmers when they themselves failed to address the issue of depleting underground water table or improving the lot of farmers,” he said. He said Punjab had abundant water 50 years ago but if the current cropping patterns and other practices related to use of water continued, the state would turn into a desert. Stating that new agriculture policy would be announced soon, he said Punjab needed to have new crops. The CM also attacked BJP for not implementing Swaminathan commission report on fair prices for crops as promised by the ruling party at the Centre. “This report should be implemented in totality,” he said. Amarinder also questioned Union minister Harsimrat Kaur Badal’s silence when BJP-led government in Delhi was failing the farmers of the country. Farmers from districts of Jalandhar, Kapurthala, Ludhiana, Fazilka and Ferozepur had converged here for the function held at grain market to get their loan waiver certificates. Describing the distribution of certificates as part of the fulfilment of Congress’s poll promise, Amarinder assured the he was totally committed to implementing the promise of debt waiver. “Things are improving, the number of suicides has come down since the Congress took over,” he claimed. Speaking on the occasion, he also raised the issue of Akalis purchasing buses in BJP-ruled Himachal Pradesh. He said Akalis had started purchasing and plying new buses in Himachal after the BJP took the reigns in the neighbouring state. "
"Transgender people can now change gender, name in SSLC certificate",17/3/2018,city,"THIRUVANANTHAPURAM: The state government has issued an order permitting transgender people who underwent sex reassignment surgery to change name and gender in SSLC certificates and decided to introduce transgender as the third option for gender in SSLC book. Officials of Pariksha Bhavan took the decision based on a petition filed by transgender persons requesting to change their name and gender. “We received petitions with medical certificates to prove that they have changed sex through surgery and the government must allow them to mention as transgender person in SSLC book,” said an official of Pariksha Bhavan. The order has stated that only transgender persons who underwent sex reassignment surgery can change their names and gender. However, the transgender community is not happy about the new order. Transgender activist Sreemayi said that education department had committed a blunder. “As per the 2014 judgment of National Legal Service Authority, it is illegal to insist sex reassignment surgery as a condition for changing one’s gender. The gender must be self-declaration,” said Sreemayi, adding that the order was against transgender policy. Transgender activists said that they would contact TG cell to make necessary changes in the order. However, Pariksha Bhavan officials said that they need some proof such a medical certificate to make changes in the gender and so they mentioned about sex reassignment surgery. Education minister C Raveendranath was not available for comments. "
